area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,12,Sarjapur  Road,3,Other,1254,3,2.0,38.0
Super built-up  Area,0,Other,1,Other,600,1,0.0,38.0
Plot  Area,0,Yelahanka,1,Other,660,1,0.0,48.0
Super built-up  Area,9,Kanakpura Road,2,Other,1331,2,2.0,91.79
Plot  Area,0,HSR Layout,8,Other,600,9,2.0,200.0
Super built-up  Area,0,Other,2,Other,970,2,0.0,33.0
Super built-up  Area,9,Whitefield,2,Other,1459,2,1.0,94.82
Plot  Area,0,KR Puram,2,Other,800,1,1.0,130.0
Built-up  Area,0,Other,2,Other,869,2,1.0,36.0
Super built-up  Area,0,Other,2,Other,1270,2,1.0,50.0
Super built-up  Area,3,Other,3,Rosha I,1670,3,1.0,99.0
Built-up  Area,0,Whitefield,3,Other,2010,3,2.0,91.0
Super built-up  Area,0,Other,2,RothaVa,1185,2,2.0,75.0
Super built-up  Area,0,Yelahanka,3,Other,1600,2,3.0,75.0
Super built-up  Area,0,Begur Road,2,Dhalsh ,1200,2,2.0,44.0
Built-up  Area,2,Other,4,Other,3210,2,2.0,192.0
Super built-up  Area,0,Other,2,Other,1500,2,2.0,185.0
Plot  Area,0,Other,6,Other,1407,4,1.0,150.0
Super built-up  Area,0,Other,2,Other,840,2,2.0,45.0
Plot  Area,0,Other,3,Other,4395,3,2.0,240.0
Super built-up  Area,0,Other,2,Other,845,2,1.0,55.0
Built-up  Area,0,Varthur,2,Other,1160,2,2.0,44.0
Built-up  Area,0,Other,8,Other,3000,8,0.0,140.0
Super built-up  Area,0,Other,2,Other,1100,2,1.0,62.0
Super built-up  Area,4,Other,2,Other,1140,2,3.0,43.0
Super built-up  Area,0,Marathahalli,2,Other,1220,2,1.0,57.0
Plot  Area,0,Other,8,Other,1350,7,0.0,85.0
Super built-up  Area,0,Kanakpura Road,2,Other,1005,2,1.0,36.68
Plot  Area,0,Other,3,Other,500,3,2.0,100.0
Super built-up  Area,8,Begur Road,2,Other,1358,2,1.0,80.58
Super built-up  Area,0,Other,3,Other,1569,3,1.0,101.0
Super built-up  Area,4,Haralur Road,2,SNnia E,1240,2,1.0,70.0
Super built-up  Area,0,Hennur Road,3,Other,2089,3,2.0,140.0
Super built-up  Area,0,Other,2,Other,1206,2,1.0,48.23
Super built-up  Area,0,Other,2,Other,1150,2,3.0,40.0
Built-up  Area,0,Other,3,Other,2511,3,3.0,205.0
Built-up  Area,0,Other,2,Other,460,1,0.0,22.0
Built-up  Area,0,Other,6,Other,4400,6,3.0,250.0
Super built-up  Area,0,Other,3,Other,1660,2,2.0,105.0
Built-up  Area,10,Hennur Road,4,Other,3204,2,2.0,224.5
Super built-up  Area,3,Yelahanka,2,Other,1326,2,2.0,78.0
Super built-up  Area,0,Other,3,Other,1325,2,2.0,60.8
Super built-up  Area,0,Other,3,Other,1499,5,2.0,102.0
Built-up  Area,0,Other,6,Other,3000,7,2.0,210.0
Super built-up  Area,0,Kanakpura Road,3,Other,1665,3,2.0,88.0
Super built-up  Area,9,Other,2,Other,708,2,2.0,37.0
Super built-up  Area,0,Kasavanhalli,2,Other,1060,2,2.0,58.06
Plot  Area,0,Rajaji Nagar,6,Other,710,6,3.0,160.0
Built-up  Area,0,Other,2,Other,1000,2,2.0,70.0
Super built-up  Area,12,Electronic City,2,Other,1000,2,1.0,28.88
Super built-up  Area,0,Other,3,Other,1450,2,2.0,70.0
Plot  Area,0,Other,4,Other,1200,4,2.0,155.0
Super built-up  Area,8,Thanisandra,2,Bhmesy ,1296,2,3.0,80.0
Super built-up  Area,0,Other,3,Other,1540,3,2.0,90.0
Plot  Area,0,Kengeri,4,Other,2894,4,1.0,245.0
Super built-up  Area,0,Other,3,Other,1330,2,1.0,48.0
Built-up  Area,0,Other,2,Other,1200,2,1.0,65.0
Built-up  Area,0,Other,3,Other,1200,3,1.0,90.0
Super built-up  Area,0,Yeshwanthpur,3,IBityin,2502,3,3.0,138.0
Built-up  Area,0,Chandapura,2,Other,650,1,1.0,17.0
Plot  Area,0,Kothanur,3,Other,2400,2,1.0,150.0
Super built-up  Area,0,Other,2,Other,1007,2,2.0,43.0
Super built-up  Area,0,Other,2,Other,1200,2,2.0,50.0
Super built-up  Area,0,Other,2,Other,966,2,2.0,49.9
Built-up  Area,0,Nagarbhavi,3,Other,1630,2,1.0,98.0
Built-up  Area,0,Rajaji Nagar,3,Other,1640,3,2.0,229.0
Built-up  Area,0,Other,2,Other,782,2,2.0,55.68
Super built-up  Area,4,Other,2,Other,1260,2,2.0,66.78
Super built-up  Area,0,Other,3,Other,1800,3,3.0,120.0
Super built-up  Area,0,Other,3,Other,1413,2,2.0,75.0
Super built-up  Area,0,Whitefield,2,Other,1116,2,1.0,51.91
Super built-up  Area,0,Electronic City,3,Other,1530,2,1.0,45.9
Built-up  Area,0,Ramamurthy Nagar,4,Other,3700,4,1.0,225.0
Built-up  Area,0,Sarjapur  Road,3,Other,2497,3,2.0,140.0
Super built-up  Area,0,Kengeri,3,Other,1540,2,3.0,64.0
Super built-up  Area,12,Thanisandra,3,Other,1436,3,1.0,74.75
Super built-up  Area,6,Malleshwaram,2,Other,1100,2,2.0,75.0
Super built-up  Area,0,Thanisandra,3,Other,1427,3,2.0,120.0
Super built-up  Area,0,Akshaya Nagar,3,Other,2061,3,1.0,200.0
Built-up  Area,0,Other,4,Other,2650,4,2.0,150.0
Super built-up  Area,12,Other,3,Other,1282,2,2.0,68.52
Built-up  Area,0,Other,2,Other,1050,2,1.0,34.0
Built-up  Area,0,Other,3,Other,1600,3,2.0,65.0
Super built-up  Area,1,Other,2,Other,945,2,1.0,54.0
Super built-up  Area,0,Hormavu,2,Other,1500,2,1.0,78.0
Plot  Area,0,Other,7,Other,950,7,0.0,115.0
Built-up  Area,0,Other,3,Other,1870,3,3.0,110.0
Plot  Area,0,Sarjapur,3,Other,1600,3,1.0,75.0
Super built-up  Area,0,Electronic City,2,Other,880,1,1.0,16.5
Plot  Area,0,Other,4,Other,1200,4,0.0,210.0
Super built-up  Area,0,Other,3,Other,1535,3,2.0,83.0
Built-up  Area,0,Kanakpura Road,2,Other,950,2,1.0,57.0
Super built-up  Area,8,Other,2,Other,1360,2,1.0,65.0
Super built-up  Area,3,8th Phase JP Nagar,2,Other,1074,2,0.0,54.005
Super built-up  Area,5,Other,3,Other,1280,3,1.0,50.4
Super built-up  Area,1,Other,3,Other,1260,2,2.0,85.05
Built-up  Area,0,Hennur Road,8,Other,5000,8,2.0,250.0
Super built-up  Area,12,Yelahanka,5,Other,3050,5,1.0,213.0
Super built-up  Area,0,Kasavanhalli,3,Other,1563,3,1.0,105.0
Super built-up  Area,0,Other,2,Other,1000,2,1.0,60.0
Super built-up  Area,7,Other,2,Other,1167,2,1.0,43.76
Super built-up  Area,0,Other,7,Other,4000,7,2.0,225.0
Super built-up  Area,0,Kothanur,3,Other,1828,3,2.0,110.0
Super built-up  Area,0,Other,2,Other,890,2,1.0,35.0
Super built-up  Area,0,Other,3,Other,1612,3,3.0,46.74
Plot  Area,0,Other,6,Other,1034,5,2.0,185.0
Super built-up  Area,4,Mysore Road,3,Other,1710,4,2.0,91.31
Super built-up  Area,0,Other,2,Other,957,2,1.0,58.0
Super built-up  Area,5,Other,3,Other,1250,2,3.0,44.0
Super built-up  Area,0,Other,3,Other,2795,4,2.0,235.0
Super built-up  Area,0,Hulimavu,2,Other,1125,2,2.0,50.0
Super built-up  Area,7,Electronic City Phase II,2,Sryalan,1020,2,1.0,30.6
Super built-up  Area,0,Other,2,Other,1200,2,2.0,50.0
Super built-up  Area,0,Thanisandra,3,Soitya ,1735,3,3.0,135.0
Super built-up  Area,0,Thanisandra,3,Other,2050,3,1.0,145.0
Plot  Area,0,Other,4,Other,3750,4,0.0,760.0
Built-up  Area,0,Other,3,Other,1350,2,3.0,48.0
Super built-up  Area,5,Hosa Road,2,Other,1063,2,1.0,32.0
Super built-up  Area,0,Other,3,Other,1904,3,1.0,150.0
Built-up  Area,0,Whitefield,4,Other,4200,4,2.0,420.0
Super built-up  Area,0,Other,3,Other,2000,3,1.0,175.0
Super built-up  Area,12,Sarjapur,2,Other,1242,2,0.0,43.49
Super built-up  Area,0,Other,3,Other,1425,2,2.0,75.0
Super built-up  Area,0,Electronic City,3,GMown E,1500,2,1.0,64.5
Built-up  Area,0,Electronic City,2,GMown E,1060,2,1.0,60.0
Built-up  Area,0,Other,3,Other,1470,2,2.0,70.0
Super built-up  Area,0,Other,6,Other,1300,6,0.0,99.0
Super built-up  Area,0,Other,1,Other,450,1,1.0,11.0
Super built-up  Area,4,Electronic City,2,Prarkun,1152,2,1.0,64.5
Super built-up  Area,0,Electronic City,3,GMown E,1350,2,1.0,56.0
Super built-up  Area,0,Other,3,Other,1550,3,3.0,65.0
Plot  Area,0,Other,3,Other,1500,3,2.0,100.0
Plot  Area,0,Other,5,Other,600,3,2.0,85.0
Super built-up  Area,0,Malleshwaram,1,Other,705,1,2.0,67.0
Built-up  Area,0,Electronic City,2,GMown E,770,1,1.0,36.0
Super built-up  Area,0,Hulimavu,2,Other,1242,2,3.0,51.0
Super built-up  Area,0,Other,3,Other,1700,3,2.0,155.0
Super built-up  Area,0,Thanisandra,3,Soitya ,2144,3,2.0,145.0
Super built-up  Area,6,Other,3,Other,1704,3,2.0,110.0
Super built-up  Area,0,Electronic City,2,GMown E,1070,2,1.0,52.0
Plot  Area,0,Other,3,Other,1846,3,2.0,300.0
Super built-up  Area,0,Other,2,Other,1340,2,2.0,55.7
Built-up  Area,0,Electronic City,2,GMown E,1025,2,1.0,46.0
Super built-up  Area,0,KR Puram,2,Other,1278,2,0.0,56.8
Super built-up  Area,0,Marathahalli,2,Other,1200,2,2.0,52.0
Built-up  Area,12,Kanakpura Road,4,Other,2250,4,1.0,110.0
Super built-up  Area,0,Other,3,Other,1550,2,3.0,80.0
Plot  Area,0,Bellandur,4,Other,1200,5,2.0,325.0
Plot  Area,0,Other,7,Other,1800,7,1.0,250.0
Super built-up  Area,0,Marathahalli,2,Other,1200,2,2.0,60.0
Super built-up  Area,0,Yelahanka,2,Other,1327,2,2.0,98.0
Super built-up  Area,0,Kothanur,2,Other,1186,2,2.0,58.0
Built-up  Area,0,Other,3,Other,1783,3,1.0,115.0
Super built-up  Area,0,HSR Layout,3,Other,1400,3,2.0,56.0
Super built-up  Area,0,Other,2,Other,980,2,1.0,48.0
Super built-up  Area,0,Other,2,Other,1285,2,2.0,82.0
Super built-up  Area,0,Other,3,Other,912,2,1.0,70.0
Built-up  Area,0,Whitefield,2,Other,1225,2,2.0,47.6
Super built-up  Area,0,Whitefield,2,Other,1075,2,1.0,53.0
Built-up  Area,0,Other,3,Other,1260,2,2.0,54.0
Super built-up  Area,0,Yelahanka,3,Other,1282,2,2.0,48.7
Super built-up  Area,0,Other,3,Other,1909,3,2.0,88.0
Super built-up  Area,0,Panathur,2,Other,1359,2,1.0,87.0
Built-up  Area,0,Other,2,Other,1207,2,2.0,43.5
Plot  Area,0,Other,4,Other,1736,6,0.0,190.0
Super built-up  Area,5,Other,4,Other,2850,4,1.0,428.0
Super built-up  Area,0,Other,3,Other,1595,3,2.0,65.0
Built-up  Area,6,Other,3,Other,1798,3,2.0,89.0
Super built-up  Area,0,Electronics City Phase 1,3,Other,1475,3,2.0,78.29
Super built-up  Area,0,Other,3,Other,1580,3,3.0,100.0
Super built-up  Area,0,Other,2,Other,1295,2,1.0,65.0
Built-up  Area,0,Other,6,Other,3600,6,0.0,141.0
Super built-up  Area,0,Electronic City,1,Other,589,1,1.0,27.0
Super built-up  Area,0,Other,3,Other,1415,3,3.0,78.0
Super built-up  Area,12,Sarjapur  Road,3,Other,1787,3,2.0,98.29
Super built-up  Area,0,Sarjapur  Road,3,Other,1787,3,2.0,125.0
Super built-up  Area,0,Koramangala,3,Other,1475,2,3.0,90.0
Built-up  Area,0,Other,4,Other,2000,4,1.0,75.5
Super built-up  Area,3,Sarjapur  Road,2,Other,984,2,1.0,44.28
Super built-up  Area,12,Other,3,Other,1630,2,2.0,74.82
Super built-up  Area,0,Other,3,Other,2405,4,2.0,260.0
Built-up  Area,0,7th Phase JP Nagar,2,Other,1080,2,2.0,72.0
Plot  Area,0,Other,2,Other,1500,2,1.0,115.0
Super built-up  Area,0,Hebbal,3,Other,1900,3,2.0,119.0
Super built-up  Area,8,Other,2,Other,805,2,1.0,22.14
Super built-up  Area,0,Budigere,2,PrityTr,1153,2,2.0,56.4
Super built-up  Area,0,Other,2,Other,1148,2,2.0,60.0
Super built-up  Area,0,Other,2,Other,1110,2,2.0,55.0
Built-up  Area,0,Electronic City,2,Other,1100,2,2.0,42.0
Super built-up  Area,0,Other,2,Other,1290,2,2.0,110.0
Super built-up  Area,0,Other,3,Other,1500,2,1.0,65.0
Super built-up  Area,4,Other,2,Other,1080,2,2.0,39.0
Super built-up  Area,6,Other,3,Other,1933,3,1.0,129.0
Built-up  Area,0,Ramamurthy Nagar,5,Other,3500,5,2.0,150.0
Built-up  Area,0,Other,2,Other,1060,2,2.0,60.0
Super built-up  Area,8,Chandapura,1,SunceEs,645,1,1.0,16.45
Plot  Area,0,Other,8,Other,2600,8,2.0,180.0
Super built-up  Area,9,Chandapura,1,SunceEs,645,1,1.0,16.45
Super built-up  Area,0,Other,3,Other,1644,3,3.0,84.0
Super built-up  Area,0,Other,2,Other,1285,2,3.0,72.5
Plot  Area,0,Electronic City,3,Other,1200,3,1.0,90.0
Super built-up  Area,0,Electronic City,2,Other,910,2,1.0,40.0
Super built-up  Area,0,Kothanur,3,Other,1577,3,1.0,70.0
Plot  Area,5,Other,3,Other,4050,3,2.0,280.0
Super built-up  Area,0,Other,3,Other,2420,3,2.0,185.0
Super built-up  Area,0,Chandapura,2,Other,800,1,1.0,20.0
Built-up  Area,0,Other,2,Other,1060,2,2.0,55.0
Super built-up  Area,0,7th Phase JP Nagar,2,Other,1270,2,2.0,93.0
Super built-up  Area,6,Other,2,Other,900,2,2.0,22.5
Built-up  Area,0,Other,2,Other,1280,2,1.0,69.0
Plot  Area,0,Other,4,Other,1200,2,0.0,95.0
Built-up  Area,0,Sarjapur  Road,2,Other,1025,2,2.0,36.0
Super built-up  Area,6,Electronic City,2,Prarkun,1108,2,1.0,63.0
Plot  Area,0,Other,5,Other,1200,5,2.0,170.0
Super built-up  Area,0,Other,3,Other,3045,3,2.0,170.0
Plot  Area,0,Other,4,Other,2900,3,2.0,300.0
Super built-up  Area,0,Other,3,Other,1500,3,2.0,75.5
Super built-up  Area,0,Raja Rajeshwari Nagar,2,GrrvaGr,1295,2,2.0,43.9
Super built-up  Area,0,Budigere,2,PrityTr,1162,2,1.0,59.9
Super built-up  Area,0,Sarjapur  Road,2,Other,1035,2,2.0,49.2
Built-up  Area,0,Other,4,Other,1600,4,0.0,52.8
Super built-up  Area,0,Other,3,Other,1464,3,2.0,46.0
Super built-up  Area,10,Hennur Road,3,Other,1866,2,2.0,61.58
Super built-up  Area,0,Other,2,Other,700,1,1.0,26.0
Super built-up  Area,0,Other,3,Other,1804,3,2.0,120.0
Super built-up  Area,0,Sarjapur,2,Other,913,2,1.0,32.0
Super built-up  Area,12,Other,3,Other,1868,3,2.0,131.0
Built-up  Area,0,Other,2,Other,883,2,1.0,45.0
Plot  Area,0,Other,2,Other,900,2,1.0,110.0
Super built-up  Area,0,Other,3,Other,1664,2,3.0,73.95
Super built-up  Area,0,Other,3,Other,2026,3,2.0,132.0
Super built-up  Area,0,Other,2,Other,1210,2,1.0,80.9
Plot  Area,0,Other,4,Other,4111,4,2.0,250.0
Super built-up  Area,0,Other,3,Other,1762,3,3.0,91.45
Super built-up  Area,0,Jigani,3,Other,1252,3,3.0,55.0
Built-up  Area,0,Other,2,Other,861,2,1.0,34.5
Built-up  Area,0,7th Phase JP Nagar,3,Other,1420,2,1.0,100.0
Plot  Area,0,Other,6,Other,1450,6,0.0,250.0
Built-up  Area,0,Electronics City Phase 1,3,Other,1490,3,1.0,78.8
Super built-up  Area,0,Bisuvanahalli,3,Other,1075,2,1.0,46.0
Super built-up  Area,8,Old Madras Road,3,Other,1425,2,2.0,94.0
Built-up  Area,0,Other,2,Other,1200,2,1.0,40.0
Super built-up  Area,0,Kaggadasapura,3,Other,1280,2,2.0,56.0
Super built-up  Area,0,Other,2,Other,1084,2,2.0,50.0
Super built-up  Area,7,Chandapura,2,SunceEs,1015,2,2.0,25.88
Super built-up  Area,5,Kanakpura Road,2,Other,1017,2,1.0,51.25
Super built-up  Area,0,Haralur Road,2,Other,1027,2,2.0,44.0
Super built-up  Area,0,Electronic City Phase II,2,Other,1069,2,2.0,45.0
Super built-up  Area,0,Hebbal,2,Other,1349,2,1.0,98.2
Super built-up  Area,0,Other,2,Other,1005,2,1.0,50.0
Super built-up  Area,0,Jakkur,2,Other,1417,2,3.0,75.0
Plot  Area,1,TC Palaya,3,Other,1475,3,1.0,98.0
Carpet  Area,0,Other,2,Other,950,2,2.0,47.0
Super built-up  Area,0,Other,4,Other,2000,4,0.0,120.0
Plot  Area,0,Other,3,Other,880,3,1.0,140.0
Super built-up  Area,0,Sarjapur  Road,4,Other,1863,3,2.0,104.0
Super built-up  Area,0,Other,2,Other,1010,2,1.0,29.5
Super built-up  Area,0,Other,3,Other,1425,2,1.0,70.0
Super built-up  Area,0,Other,3,Other,1450,3,0.0,100.0
Super built-up  Area,0,Kothanur,3,Other,1847,3,2.0,105.0
Super built-up  Area,0,Other,2,Other,1100,2,3.0,45.0
Super built-up  Area,12,Kanakpura Road,1,PrarePa,525,1,1.0,26.0
Super built-up  Area,0,Other,3,Other,1665,3,2.0,95.0
Super built-up  Area,0,Other,4,Other,1664,4,3.0,65.0
Super built-up  Area,0,JP Nagar,3,Other,1850,3,3.0,150.0
Super built-up  Area,0,Panathur,2,Other,1438,2,3.0,100.0
Super built-up  Area,0,Other,3,Other,1560,3,3.0,115.0
Super built-up  Area,4,Yelahanka,2,Other,1350,2,1.0,55.55
Super built-up  Area,0,Kanakpura Road,3,JRrnauv,1550,3,3.0,67.0
Super built-up  Area,4,Other,2,Other,1140,2,2.0,46.5
Plot  Area,0,Other,5,Other,1200,5,2.0,180.0
Super built-up  Area,12,Other,2,Other,850,2,2.0,27.0
Super built-up  Area,0,Whitefield,2,Other,1280,2,2.0,75.0
Built-up  Area,0,Other,2,Other,1170,2,2.0,52.0
Super built-up  Area,0,Other,2,Other,1113,2,1.0,51.0
Super built-up  Area,0,Hennur Road,2,Other,1385,2,1.0,83.09
Super built-up  Area,4,Electronic City,2,Prarkun,1128,2,1.0,65.0
Plot  Area,0,Marathahalli,2,Other,1200,2,2.0,128.0
Plot  Area,0,Other,4,Other,1200,4,3.0,165.0
Super built-up  Area,0,Rajaji Nagar,3,PhestOn,2390,3,2.0,415.0
Plot  Area,0,Other,4,Other,2400,4,1.0,400.0
Super built-up  Area,0,Haralur Road,3,Other,1464,3,2.0,56.0
Super built-up  Area,0,Other,2,Other,1200,2,2.0,55.0
Super built-up  Area,0,Other,2,Other,1200,2,2.0,52.0
Super built-up  Area,0,Other,3,Other,1150,2,1.0,55.0
Built-up  Area,0,Other,3,Other,1645,3,2.0,95.0
Super built-up  Area,3,Sarjapur  Road,2,Other,1000,2,1.0,67.0
Plot  Area,0,Haralur Road,4,Other,2650,4,2.0,198.0
Super built-up  Area,0,Other,2,Other,1192,2,2.0,74.0
Super built-up  Area,0,Other,3,Other,2135,3,2.0,215.0
Super built-up  Area,12,Whitefield,2,Other,1173,2,1.0,58.0
Built-up  Area,0,Uttarahalli,2,Other,1020,2,2.0,45.0
Super built-up  Area,0,Thigalarapalya,4,Prtanha,3122,6,2.0,230.0
Super built-up  Area,0,Other,3,Other,1600,3,3.0,64.0
Plot  Area,3,Other,2,Other,1200,2,0.0,79.0
Carpet  Area,0,Other,2,Other,1230,2,3.0,48.0
Super built-up  Area,0,Other,2,Other,1250,2,2.0,40.0
Super built-up  Area,0,Other,2,Other,1325,2,2.0,76.0
Built-up  Area,0,7th Phase JP Nagar,3,Other,1850,3,1.0,150.0
Super built-up  Area,12,Kanakpura Road,1,PrarePa,525,2,2.0,21.53
Super built-up  Area,0,Other,2,Other,1200,2,2.0,65.0
Plot  Area,0,Other,3,Other,1350,2,0.0,140.0
Super built-up  Area,6,Other,3,Other,1260,3,1.0,49.36
Super built-up  Area,0,Other,3,Other,1800,3,0.0,150.0
Built-up  Area,0,Other,2,Other,1100,2,1.0,43.25
Super built-up  Area,0,Harlur,2,Other,1508,2,1.0,77.0
Carpet  Area,0,Other,3,Other,1592,3,2.0,75.0
Super built-up  Area,0,Akshaya Nagar,2,Other,1388,2,3.0,57.0
Super built-up  Area,5,Electronic City Phase II,1,Other,630,1,1.0,28.35
Plot  Area,0,Other,3,Other,2000,3,2.0,365.0
Super built-up  Area,0,Other,3,Other,1762,3,1.0,125.0
Super built-up  Area,12,Other,2,Other,950,2,2.0,50.0
Super built-up  Area,0,Other,4,Other,3252,5,3.0,335.0
Super built-up  Area,8,Other,2,Other,1116,2,1.0,50.0
Super built-up  Area,0,Other,2,Other,1308,2,2.0,89.04
Super built-up  Area,0,Other,3,Other,1200,3,0.0,90.0
Plot  Area,0,Other,4,Other,1500,4,2.0,230.0
Built-up  Area,0,Bannerghatta Road,1,Other,500,1,1.0,18.5
Super built-up  Area,0,Hennur,2,Other,1075,2,1.0,52.0
Super built-up  Area,3,Chandapura,1,Other,530,1,0.0,11.66
Built-up  Area,0,Bellandur,2,Other,1205,2,3.0,66.0
Super built-up  Area,0,Other,2,Other,1075,2,2.0,60.0
Built-up  Area,0,KR Puram,2,Other,930,2,2.0,39.0
Super built-up  Area,0,Other,2,Other,1380,2,1.0,60.0
Super built-up  Area,0,Hebbal,4,Other,2483,5,2.0,212.0
Built-up  Area,0,Other,2,Other,1166,2,2.0,55.0
Super built-up  Area,0,Bannerghatta Road,2,Other,1050,2,1.0,65.0
Super built-up  Area,3,Other,3,Other,2024,3,2.0,275.0
Super built-up  Area,0,Begur Road,2,Dhalsh ,1200,2,2.0,46.8
Super built-up  Area,0,Other,3,Other,1600,2,1.0,108.0
Super built-up  Area,0,Other,3,Other,1935,3,2.0,110.0
Super built-up  Area,5,8th Phase JP Nagar,1,Other,451,1,0.0,29.9
Super built-up  Area,0,Electronic City,3,Other,1800,3,2.0,95.0
Super built-up  Area,5,Jalahalli,3,Other,1400,3,0.0,77.0
Super built-up  Area,0,Other,3,Other,1801,3,2.0,115.0
Built-up  Area,0,Other,2,Other,1451,2,2.0,90.0
Plot  Area,1,Other,2,Other,1200,1,1.0,36.0
Super built-up  Area,0,Begur Road,2,Dhalsh ,1160,2,2.0,44.0
Built-up  Area,0,Kengeri,2,Other,1000,2,1.0,25.0
Super built-up  Area,0,Kanakpura Road,2,Other,950,2,1.0,40.0
Built-up  Area,12,Other,3,Other,1629,3,2.0,79.0
Built-up  Area,0,Other,3,Other,1580,2,0.0,134.0
Super built-up  Area,6,Other,3,Other,1826,3,2.0,121.0
Built-up  Area,0,7th Phase JP Nagar,2,Other,1245,2,1.0,94.0
Super built-up  Area,0,Raja Rajeshwari Nagar,2,Other,1145,2,2.0,45.79
Super built-up  Area,0,Other,2,Other,825,2,1.0,33.0
Super built-up  Area,8,Yeshwanthpur,3,Other,1693,3,3.0,108.0
Super built-up  Area,0,Electronics City Phase 1,2,Other,1113,2,2.0,53.0
Built-up  Area,0,Other,2,Other,1460,2,1.0,58.0
Built-up  Area,0,Other,2,Other,1050,2,1.0,32.0
Built-up  Area,0,Other,2,Other,1260,2,2.0,55.0
Super built-up  Area,0,Other,6,Other,700,3,2.0,120.0
Built-up  Area,0,Other,2,Other,1656,2,1.0,120.0
Super built-up  Area,0,Chandapura,3,Other,1208,3,1.0,45.0
Super built-up  Area,0,Whitefield,3,Other,1910,3,2.0,161.0
Super built-up  Area,0,Whitefield,4,Other,3252,4,1.0,230.0
Plot  Area,0,Other,2,Other,1200,2,1.0,65.0
Super built-up  Area,0,Other,4,Other,1200,4,1.0,175.0
Super built-up  Area,0,7th Phase JP Nagar,2,Other,1175,2,1.0,82.0
Plot  Area,0,Other,2,Other,1000,2,0.0,165.0
Plot  Area,0,Bannerghatta Road,4,Other,1200,2,0.0,125.0
Super built-up  Area,0,Rajaji Nagar,3,PhestOn,2390,3,2.0,410.0
Plot  Area,0,Other,2,Other,550,1,1.0,62.0
Super built-up  Area,0,Other,2,Other,1185,2,2.0,38.0
Super built-up  Area,0,Kengeri,2,Other,750,2,1.0,38.0
Plot  Area,0,Other,6,Other,1200,7,3.0,250.0
Super built-up  Area,0,Kanakpura Road,3,JRrnauv,1550,3,3.0,64.5
Built-up  Area,0,Other,3,Other,1760,3,2.0,88.0
Super built-up  Area,0,Other,2,Other,1125,2,2.0,62.0
Plot  Area,0,Nagarbhavi,3,Other,1350,3,2.0,150.0
